,type,country,activity,age,species_,mes,fatal,sex,especie_tiburon,year,age_ok
1029,Unprovoked,south africa,Body boarding,21,3 m [10'] white shark,Dec,Y,M,Unspecified,1986,21.0
1030,Unprovoked,usa,Surfing,40,1.8 m to 2.1 m [6' to 7'] spinner or blacktip shark,Dec,N,M,Unspecified,1986,40.0
1031,Unprovoked,usa,Free diving  & spearfishing (submerged),27,5 m to 6 m [16.5' to 20'] white shark,Dec,N,M,Unspecified,1986,27.0
1032,Unprovoked,usa,Swimming,6,"Lemon shark, 1.8 m to 2.4 m [6' to 8'], tooth fragment recovered",Oct,N,F,Lemon shark,1986,6.0
1033,Unprovoked,south africa,Racing ski,32,1.6 m shark,Oct,N,M,Unspecified,1986,32.0
1034,Invalid,south africa,Spearfishing,35,Invalid,Aug,Unknown,M,Unspecified,1986,35.0
1036,Unprovoked,south africa,Treading water,26,>1 m shark,Mar,N,M,Unspecified,1986,26.0
1037,Unprovoked,south africa,Surfing,21,>2.4 m [8'] white shark,Feb,N,M,Unspecified,1986,21.0
1038,Unprovoked,south africa,Swimming,46,Raggedtooth shark,Feb,N,M,Unspecified,1986,46.0
1039,Unprovoked,south africa,Spearfishing,29,"Raggedtooth shark, 2 m [6.75'] ",Feb,N,M,Unspecified,1986,29.0
1040,Unprovoked,australia,Surfing,29,"Bronze whaler shark, 3.5 m ",Feb,N,M,Unspecified,1986,29.0
1041,Unprovoked,usa,Surfing,22,Blacktip shark,Jan,N,M,Unspecified,1986,22.0
1043,Unprovoked,south africa,Body boarding,22,2.5 m [8.25'] white shark,Oct,N,M,Unspecified,1985,22.0
1044,Unprovoked,usa,Hookah diving for abalone,46,2 m to 2.5 m [6.75'  to 8.25'] sixgill or sevengill shark,Oct,N,M,Unspecified,1985,46.0
1045,Invalid,usa,Swimming,17,Invalid,Sep,Unknown,M,Unspecified,1985,17.0
1046,Invalid,usa,Wading,11,Shark involvement not confirmed,Aug,Unknown,M,Unspecified,1985,11.0
1047,Invalid,usa,Scuba diving,67,Shark involvement prior to death not confirmed,Aug,Unknown,M,Unspecified,1985,25.0
1048,Unprovoked,usa,Wading,13,Possibly a small hammerhead shark,Jul,N,F,Unspecified,1985,13.0
1050,Unprovoked,australia,Free diving for scallops,33,6 m [20'] white shark,Mar,Y,F,Unspecified,1985,33.0
1051,Unprovoked,usa,Scuba Diving for lobster (at surface),29,6 m [20'] white shark,Feb,N,M,Unspecified,1985,29.0
1052,Unprovoked,south africa,Swimming,15,Raggedtooth shark,Jan,N,M,Unspecified,1985,15.0
1053,Unprovoked,south africa,Surfing,18,"3.5 m white shark, tooth fragments recovered",Jan,N,M,Unspecified,1985,18.0
1054,Unprovoked,south africa,Spearfishing,34,3.5 m [11.5'] white shark,Jan,N,M,Unspecified,1985,34.0
1056,Unprovoked,australia,Sailing on catamaran & fell into the water,16,"Tiger shark, 4 m ",Nov,Y,M,Tiger shark,1984,16.0
1057,Invalid,usa,Swimming,22,Shark involvement prior to death was not confirmed,Oct,Unknown,M,Unspecified,1984,22.0
1058,Unprovoked,usa,Surfing or body surfing,23,1.5 m [5'] shark,Oct,N,F,Unspecified,1984,23.0
1059,Invalid,usa,Wading,77,Shark involvement not confirmed; officials considered barracua,Oct,Unknown,F,Unspecified,1984,25.0
1060,Unprovoked,usa,Surfing,15,1.2 m [4'] blacktip shark,Oct,N,M,Unspecified,1984,15.0
1061,Unprovoked,usa,Surfing (sitting on his board),25,3 m to 5 m [10' to 16.5'] white shark,Sep,N,M,Unspecified,1984,25.0
1062,Unprovoked,usa,Surfing,16,Hammerhead shark?+O2356,Sep,N,M,Unspecified,1984,16.0
1063,Unprovoked,usa,Skindiving,28,4.5 m to 5 m white shark,Sep,Y,M,Unspecified,1984,28.0
1064,Unprovoked,usa,Swimming,18,1.2 m [4'] shark,Jul,N,F,Unspecified,1984,18.0
1065,Invalid,south africa,Spearfishing,21,Shark involvement prior to death was not confirmed,Jul,Unknown,M,Unspecified,1984,21.0
1066,Unprovoked,south africa,Surfing,27,2.4 m [8'] white shark,Jun,N,M,Unspecified,1984,27.0
1067,Unprovoked,usa,Towing her sister on plastic ski board,13,1.2 m to 1.5 m [4' to 5'] hammerhead shark,Jun,N,F,Unspecified,1984,13.0
1068,Provoked,south africa,Scuba diving,33, 1.5 m [5'] dusky shark,Feb,N,M,Unspecified,1984,33.0
1069,Unprovoked,south africa,Swimming,14,"Raggedtooth shark, 1 m ",Jan,N,M,Unspecified,1984,14.0
1070,Unprovoked,south africa,Swimming,47,"Raggedtooth shark, >1 m ",Dec,N,M,Unspecified,1983,47.0
1071,Unprovoked,south africa,Spearfishing,29,5 m [16.5'] white shark,Aug,N,M,Unspecified,1983,29.0
1072,Unprovoked,usa,Swimming,14,Sand shark,Aug,N,F,Unspecified,1983,14.0
1073,Unprovoked,usa,Diving,22,6' to 8' bull shark,Aug,N,F,Unspecified,1983,22.0
1074,Sea Disaster,australia,Swimming from the New Venture ,21,"Tiger shark, 5 m [16.5']",Jul,Y,F,Tiger shark,1983,21.0
1075,Sea Disaster,australia,Swimming from the New Venture ,24,"Tiger shark, 5 m [16.5']",Jul,Y,M,Tiger shark,1983,24.0
1076,Sea Disaster,australia,14 m prawn trawler New Venture capsized  & sank in heavy seas Three people in the water,28,"Tiger shark, 5 m [16.5']",Jul,N,M,Tiger shark,1983,28.0
1077,Unprovoked,usa,Windsurfing,39,3.5' hammerhead shark,Jul,N,F,Unspecified,1983,39.0
1078,Unprovoked,usa,Water-skiing,21,6' shark,May,N,M,Unspecified,1983,21.0
1079,Unprovoked,south africa,Fishing,27,"Raggedtooth shark, 1.5 m [5'] (tooth fragment recovered)",Apr,N,M,Unspecified,1983,27.0
1080,Unprovoked,south africa,Spearfishing,17,1.8 m [6'] Zambezi shark,Mar,N,M,Unspecified,1983,17.0
1081,Unprovoked,south africa,Paddleskiing,16,3 m [10'] shark,Feb,N,M,Unspecified,1983,16.0
1082,Unprovoked,south africa,Spearfishing,32,White shark,Jan,N,M,White shark,1983,32.0
1083,Unprovoked,usa,Windsurfing,26,1.5 m [5'] shark,Oct,N,M,Unspecified,1982,26.0
1084,Unprovoked,south africa,Surfing,16,"Believed to involve a 2.8 m [9'3""] white shark",Sep,N,M,Unspecified,1982,16.0
1085,Unprovoked,usa,Surfing,20,1.5 m [5'] shark,Sep,N,M,Unspecified,1982,20.0
1086,Unprovoked,usa,Diving,36,White shark,Sep,N,M,White shark,1982,36.0
1087,Unprovoked,usa,Free diving for abalone from Zodiac (submerged),28,5 m to 6 m [16.5' to 20'] white shark,Sep,N,M,Unspecified,1982,28.0
1088,Invalid,usa,Surfing,17,Questionable incident; reported as shark attack but thought to involve a pinniped instead ,Aug,Unknown,M,Unspecified,1982,17.0
1089,Invalid,south africa,Boogie boarding,20,Invalid,Jul,Unknown,M,Unspecified,1982,20.0
1090,Unprovoked,south africa,Paddleskiing,38,"2.4 m [8'] white shark, species identity confirmed by tooth fragment",Jul,N,M,Unspecified,1982,38.0
1091,Unprovoked,usa,Paddle Boarding,26,4.5 m to 5.5 m [14.7' to 18'] white shark,Jul,N,M,Unspecified,1982,26.0
1092,Unprovoked,usa,Swimming,17,0.9 m to 1.2 m [3' to 4'] shark,Jul,N,M,Unspecified,1982,17.0
1093,Unprovoked,south africa,Surfing,27,"2.4 m [8'] white shark, species identity confirmed by witnesses & tooth pattern in surfboard",Jun,Y,M,Unspecified,1982,27.0
1094,Unprovoked,usa,Swimming,20,5' shark,Jun,N,M,Unspecified,1982,20.0
1095,Unprovoked,south africa,Swimming,20,Raggedtooth shark,Jan,N,M,Unspecified,1982,20.0
1096,Unprovoked,usa,Surfing,24,7 m [23'] white shark,Dec,Y,M,Unspecified,1981,24.0
1097,Unprovoked,usa,Swimming,19,1.8 m to 2.4 m [6' to 8'] shark,Oct,N,M,Unspecified,1981,19.0
1098,Unprovoked,usa,Swimming,26,Said to involve a tiger shark or a hammerhead shark,Sep,Y,M,Unspecified,1981,26.0
1099,Unprovoked,bahamas,Snorkeling on surface,53,Mako shark (tooth fragments recovered),Aug,N,M,Unspecified,1981,53.0
1100,Unprovoked,south africa,Surfing,32,Possibly a  1.8 m [6'] Zambezi shark,Jul,N,M,Unspecified,1981,32.0
1101,Unprovoked,south korea,Shell diving,27,6 m  white shark,May,Y,F,Unspecified,1981,27.0
1102,Unprovoked,south africa,Surfing,27,Raggedtooth shark,May,N,M,Unspecified,1981,27.0
1103,Unprovoked,south africa,Surfing,19,"Raggedtooth shark, 2.5 m [8.25'] ",May,N,M,Unspecified,1981,19.0
1104,Unprovoked,south africa,Surfing,24,"Tiger shark, 2.1 m [7']",May,N,M,Tiger shark,1981,24.0
1105,Unprovoked,usa,Standing / Wading,19,"1.2 m to 1.5 m [4' to 5'] bull, sandbar or dusky shark",Mar,N,M,Unspecified,1981,19.0
1106,Unprovoked,usa,Surfing,24,C. maculpinnis or C. limbatus,Mar,N,M,Unspecified,1981,24.0
1107,Unprovoked,south africa,Swimming,30,Juvenile dusky or blacktip shark,Feb,N,M,Unspecified,1981,30.0
1108,Unprovoked,usa,Surfing,15,1.8 m to 2.4 m [6' to 8'] hammerhead shark,Feb,N,M,Unspecified,1981,15.0
1111,Unprovoked,reunion,Spearfishing,22,1.8 m [6'] white shark,Nov,N,M,Unspecified,1980,22.0
1112,Unprovoked,usa,Surfing,29,4 m to 5 m [13' to 16.5'] white shark,Oct,N,M,Unspecified,1980,29.0
1113,Unprovoked,usa,Surfing,19,4 m to 5 m [13' to 16.5'] white shark,Oct,N,M,Unspecified,1980,19.0
1114,Unprovoked,usa,Standing,22,4' to 8' shark,Jul,N,F,Unspecified,1980,22.0
1115,Unprovoked,south africa,Surfing,22,1.8 m [6'] shark,May,N,M,Unspecified,1980,22.0
1117,Unprovoked,south africa,Body boarding,24,"2.8 m [9'3""] white shark",Jan,N,M,Unspecified,1980,24.0
1118,Provoked,south africa,Spearfishing,29,"2 m [6'9""] Zambesi shark",Jan,N,M,Unspecified,1980,29.0
1119,Unprovoked,south africa,Swimming,25,"Raggedtooth shark, 2 m [6'9""] ",Jan,N,M,Unspecified,1980,25.0
1121,Unprovoked,usa,Surfing,20,"White shark, 4 m [13'] ",Nov,N,M,White shark,1979,20.0
1122,Provoked,south africa,Spearfishing,25,"White shark, 2.5 m [8.25']  ",May,N,M,White shark,1979,25.0
1123,Unprovoked,usa,Surfing,27,Blacktip or spinner shark,Mar,N,M,Unspecified,1979,27.0
1124,Unprovoked,south africa,"Surfing, collided with shark",19,1.5 m to 2 m [5' to 6.75'] shark,Feb,N,M,Unspecified,1979,19.0
1125,Unprovoked,south africa,Spearfishing,23,"White shark, 2.3 m [7.5'], tooth fragment recovered",Dec,Y,M,White shark,1978,23.0
1126,Unprovoked,south africa,Spearfishing,27,"White shark, 3.7 m [12'] ",Sep,N,M,White shark,1978,27.0
1127,Unprovoked,south africa,Surfing,17,Thought to involve a blacktip shark,Jan,N,M,Unspecified,1978,17.0
1128,Unprovoked,south africa,Surfing,18,"Tiger shark, 3 m [10']",Dec,N,M,Tiger shark,1977,18.0
1129,Unprovoked,south africa,Spearfishing,25,"White shark, 5 m [16.5'] ",Oct,N,M,White shark,1977,25.0
1130,Unprovoked,australia,Surfing,17,White shark,Aug,N,M,White shark,1977,17.0
1131,Unprovoked,usa,Free diving for abalone (surfacing),20,"White shark, 5.5 m to 6 m [18' to 20']  ",Aug,N,M,White shark,1977,20.0
1132,Provoked,usa,Spearfishing / Scuba diving,27,"Bull shark, 8",Jun,N,M,Bull shark,1977,27.0
1133,Unprovoked,usa,Hookah diving for abalone (submerged),29,"White shark, 5.5 m [18'] ",Dec,N,M,White shark,1976,29.0
1134,Unprovoked,south africa,"Thrashing the water / imitating the shark victim from ""Jaws""",19,"White shark, 3 m [10'] k",Nov,N,M,White shark,1976,19.0
1135,Unprovoked,usa,Surfing,19,2.1 m [7'] lemon shark or bull shark,Nov,N,M,Unspecified,1976,19.0
1136,Unprovoked,usa,Surfing,25,"White shark, 3 m to 4 m [10' to 13'] ",Oct,N,M,White shark,1976,25.0
1137,Unprovoked,south africa,Surfing,20,"White shark, 3.5 m [11.5'], species identity confirmed by tooth fragment",Oct,N,M,White shark,1976,20.0
1138,Unprovoked,usa,Surfing,15,"Tiger shark, 6' ",Sep,N,M,Tiger shark,1976,15.0
1139,Unprovoked,usa,Surfing,19,"White shark, 4.5 m ",Aug,N,M,White shark,1976,19.0
1140,Unprovoked,usa,Skindiving,17,12' to 14' shark,Jun,N,M,Unspecified,1976,17.0
1141,Unprovoked,usa,Scuba diving & spearfishing,27,White shark,Dec,N,M,White shark,1975,27.0
1142,Unprovoked,south africa,Standing,33,Juvenile dusky shark,Nov,N,M,Unspecified,1975,33.0
1143,Unprovoked,south africa,Surfing,19,"White shark, 2.4 m [8']",Aug,N,M,White shark,1975,19.0
1144,Unprovoked,usa,Floating on a small orange raft ,20,1.5 m [5'] shark,Aug,N,M,Unspecified,1975,20.0
1145,Unprovoked,usa,Free diving for abalone,44,White shark,Aug,N,M,White shark,1975,44.0
1146,Unprovoked,australia,Scuba diving for abalone,37,White shark,Jul,Y,M,White shark,1975,37.0
1147,Unprovoked,usa,Scuba diving for abalone (at surface),23,"White shark, 5.8 m [19'] ",Jul,N,M,White shark,1975,23.0
1148,Unprovoked,usa,Hookah diving for abalone,34,"White shark, 5m to 6m",Jul,N,M,White shark,1975,34.0
1149,Unprovoked,usa,Swimming,14,1.2 m [4'] shark,Jul,N,F,Unspecified,1975,14.0
1150,Unprovoked,usa,Swimming ,18,4' shark,Jun,N,M,Unspecified,1975,18.0
1151,Unprovoked,south africa,Surfing,16,1.5 m [5'] shark,Feb,N,M,Unspecified,1975,16.0
1152,Unprovoked,australia,Swimming underwater from crayfish cage to a fishing bait,12,"White shark, 3 m [10'] ",Feb,Y,M,White shark,1975,12.0
1153,Unprovoked,usa,Surfing,17,"White shark, 5.5 m to 6 m [18' to 20'] ",Sep,N,M,White shark,1974,17.0
1154,Unprovoked,usa,Hookah diving for abalone,29,"White shark, 4 m to 5 m ",Sep,N,M,White shark,1974,29.0
1155,Unprovoked,israel,Swimming,20,"Shortfin mako shark, 2.3 m [7.5'] ",Sep,N,F,Unspecified,1974,20.0
1156,Unprovoked,usa,Scuba diving (but on surface),41,"White shark, 5 m to 6 m [16.5 to 20'] ",Sep,N,M,White shark,1974,41.0
1157,Unprovoked,usa,Scuba diving (but on surface),48,"White shark, 5 m to 6 m [16.5 to 20'] ",Sep,N,M,White shark,1974,48.0
1159,Unprovoked,usa,Free diving (but on surface),45,"White shark, 5 m [16.5']",May,N,M,White shark,1974,45.0
1160,Unprovoked,south africa,Spearfishing,22,"Raggedtooth shark, 1.5 m [5'] ",Apr,N,M,Unspecified,1974,22.0
1161,Unprovoked,south africa,Surfing,17,Juvenile dusky shark,Apr,N,M,Unspecified,1974,17.0
1162,Unprovoked,south africa,Surfing,21,1.8 m [6'] shark,Mar,N,M,Unspecified,1974,21.0
1163,Unprovoked,south africa,Swimming,33,2 m to 2.5 m [6.75'  to 8.25'] shark,Jan,N,M,Unspecified,1974,33.0
1164,Unprovoked,bahamas,"Free diving, Spearfishing",11,7' to 8' bull shark,Sep,N,M,Unspecified,1973,11.0
1165,Unprovoked,mexico,"Free diving, Spearfishing",37,White shark,Sep,Y,M,White shark,1973,37.0
1167,Unprovoked,mozambique,Swimming,25,2 m to 3 m shark,Dec,N,M,Unspecified,1972,25.0
1168,Unprovoked,usa,Surfing,22,4.5' shark,Jun,N,M,Unspecified,1972,22.0
1169,Unprovoked,usa,Free diving for abalone,32,"White shark, 4.4 m to 5 m [14.5' to 16.5'] ",May,N,M,White shark,1972,32.0
1170,Unprovoked,australia,Surfing,18,7' shark,Feb,N,M,Unspecified,1972,18.0
1171,Unprovoked,south africa,Sitting in shallows,30,Zambesi shark,Jan,N,F,Unspecified,1972,30.0
1172,Unprovoked,mozambique,Standing,24,"White shark, 2.5 m [8.25'] ",Jan,N,M,White shark,1972,24.0
1173,Unprovoked,south africa,Swimming,16,"White shark, 3 m [10']rk",Dec,N,F,White shark,1971,16.0
1174,Unprovoked,usa,Surfing,18,5' to 6' shark,Oct,N,M,Unspecified,1971,18.0
1175,Unprovoked,south africa,Swimming,25,1.5 m to 2 m shark,Oct,N,M,Unspecified,1971,25.0
1176,Unprovoked,usa,Scuba diving,30,"White shark, 5 m to 6 m [16.5' to 20']  ",Oct,N,M,White shark,1971,30.0
1177,Unprovoked,croatia,Swimming,34,White shark,Sep,Y,M,White shark,1971,34.0
1178,Provoked,australia,Scuba diving & feeding fish,26,"Grey nurse shark, 11'",Aug,N,M,Grey shark,1971,26.0
1179,Unprovoked,south africa,Surfing,21,"White shark, 3 m [10'], species identity confirmed by witnesses & tooth pattern in leg & board ",Jun,N,M,White shark,1971,21.0
1180,Unprovoked,south africa,Swimming,>50,White shark according to tooth pattern and witnesses,Apr,Y,M,White shark,1971,50.0
1181,Unprovoked,new zealand,Surfing,16,"White shark, 4.6 m [15'] ",Mar,N,M,White shark,1971,16.0
1182,Unprovoked,micronesia,Diving,43,1.8 to 2 m C. albimarginatus,Sep,N,M,Unspecified,1970,43.0
1183,Provoked,south africa,Scuba Diving,25,"Raggedtooth shark, 2 m [6'9""], 5-year-old, captive female ",Jun,N,M,Unspecified,1970,25.0
1184,Unprovoked,usa,Free diving for abalone,53,"White shark, 4.3 m 4.9 m [14' to 16'] ",Sep,N,M,White shark,1969,53.0
1185,Unprovoked,usa,Body surfing,13,4' shark,Aug,N,M,Unspecified,1969,13.0
1186,Provoked,usa,Diving,23,Nurse shark,May,N,M,Unspecified,1969,23.0
1187,Unprovoked,usa,Surfing,16,"White shark, identified by tooth fragments in surfboard",Mar,N,M,White shark,1969,16.0
1189,Provoked,australia,Feeding mullet to sharks,27,"Grey nurse shark, 10' ",Dec,N,M,Grey shark,1968,27.0
1190,Unprovoked,new zealand,Surfing,17,White shark,Dec,N,M,White shark,1968,17.0
1191,Unprovoked,new zealand,Spearfishing,24,"White shark, 4.3 m [14'], (tooth fragment recovered)",Sep,Y,M,White shark,1968,24.0
1192,Unprovoked,columbia,Dynamite fishing,18,2 m shark,Aug,N,M,Unspecified,1968,18.0
1193,Unprovoked,usa,Free diving,25,"White shark, 4 m [13'] ",Jul,N,M,White shark,1968,25.0
1194,Unprovoked,usa,Spearfishing using Scuba,33,4m [13'] shark,Jul,N,M,Unspecified,1968,33.0
1195,Invalid,usa,Wading,63,Shark involvement not confirmed,Apr,Unknown,M,Unspecified,1968,63.0
1196,Unprovoked,south africa,Wading & pushing dinghy toward  the shallows,35,1.5 m to 1.8m [5' to 6'] shark,Mar,N,M,Unspecified,1968,35.0
1198,Unprovoked,australia,Spearfishing,26,"Bronze whaler shark, 3 m [10'] ",Feb,N,M,Unspecified,1968,26.0
1199,Unprovoked,south africa,Surfing,22,1.5 m to 1.8 m [5' to 6'] shark,Dec,N,M,Unspecified,1967,22.0
1200,Unprovoked,usa,Standing on sandbar,19,small blacktip shark,Oct,N,M,Unspecified,1967,19.0
1201,Provoked,usa,Pulling shark from the water,24,5' blue shark,Aug,N,M,Unspecified,1967,24.0
1202,Unprovoked,australia,"Spearfishing, dived to pick up a float line",23,White shark,Aug,Y,M,White shark,1967,23.0
1203,Invalid,australia,Anti-sabotage night dive exercise alongside destroyer (Scuba diving),? & 19,Shark involvement prior to death was not confirmed,Aug,Unknown,M,Unspecified,1967,19.0
1204,Unprovoked,usa,Spearfishing,15,"Nurse shark, 106 cm, 28-lb, male ",Aug,N,M,Unspecified,1967,15.0
1206,Provoked,usa,Spearfishing,26,"Nurse shark, 1 m ",Jun,N,M,Unspecified,1967,26.0
1207,Unprovoked,south africa,Spearfishing,32,"White shark, 3 m [10'] ",Mar,N,M,White shark,1967,32.0
1208,Provoked,australia,Spearfishing,36,Grey nurse shark,Mar,N,M,Grey shark,1967,36.0
1209,Unprovoked,new zealand,Lifesaving drill,21,Thought to involve a white shark,Mar,Y,M,Unspecified,1967,21.0
1210,Unprovoked,papua new guinea,Swimming,13,3.7 m [12'] shark,Oct,Y,F,Unspecified,1966,13.0
1211,Unprovoked,papua new guinea,Bathing,8,3.7 m [12'] shark,Oct,Y,F,Unspecified,1966,8.0
1212,Unprovoked,australia,"Free diving, carrying speargun",32,"Bronze whaler shark, 2.1 m [7'], a tooth was embedded in the speargun ",Sep,N,M,Unspecified,1966,32.0
1213,Unprovoked,australia,Spearfishing,43,"Mako shark, 1.9 m [6.5'] ",Sep,N,M,Unspecified,1966,43.0
1214,Unprovoked,new britain,Swimming,13,A pack of 6 sharks,Aug,Y,F,Unspecified,1966,13.0
1215,Unprovoked,new britain,Diving into water,9,A pack of 6 sharks,Aug,Y,F,Unspecified,1966,9.0
1218,Provoked,usa,Killing a shark,34,4' shark,Jul,N,M,Unspecified,1966,34.0
1219,Invalid,usa,Free diving,46,Invalid,Jul,Unknown,M,Unspecified,1966,46.0
1220,Provoked,usa,Clamming,15,"Local authorities speculated that the water was too cold for sharks, but a 2.1 m [7'], 200-lb pregnant sandbar shark was caught next day",Jun,N,M,Unspecified,1966,15.0
1221,Provoked,usa,Fishing,18,1.2 m [4'] hammerhead shark,Jun,N,M,Unspecified,1966,18.0
1222,Unprovoked,usa,Swimming,18,a small shark,Jun,N,M,Unspecified,1966,18.0
1223,Invalid,usa,Spearfishing / Scuba diving,24,Invalid,May,Unknown,M,Unspecified,1966,24.0
1224,Unprovoked,australia,Treading water,13,"White shark, 2.5 m [8.25'], an immature female, previously injured",Feb,N,M,White shark,1966,13.0
1225,Provoked,south africa,Helping men land a shark,33,Copper shark,Jan,N,M,Unspecified,1966,33.0
1226,Unprovoked,usa,Free diving / spearfishing (resting on the surface),29,"White shark, 3 m [10'] ",Jan,N,M,White shark,1966,29.0
1227,Unprovoked,south africa,Standing,16,1.5 m to 1.8 m [5' to 6'] Zambesi shark,Jan,N,M,Unspecified,1966,16.0
1228,Unprovoked,south africa,Body surfing,15,"1.8 m to 2 m [6' to 6'9""] shark",Jan,N,M,Unspecified,1966,15.0
1229,Unprovoked,usa,Swimming,35,Hammerhead shark,Jan,N,M,Unspecified,1966,35.0
1231,Unprovoked,australia,Surfing,24,"Grey nurse shark, 2.4 m [8'] ",Nov,N,M,Grey shark,1965,24.0
1232,Invalid,usa,Surfing,19,Invalid,Apr,Unknown,M,Unspecified,1965,19.0
1233,Unprovoked,usa,Spearfishing,28,"White shark, 10' to 12' ",Apr,N,M,White shark,1965,28.0
1234,Unprovoked,palau,Walking on reef,8,"Tiger shark, tooth fragment recovered",Apr,N,M,Tiger shark,1965,8.0
1235,Unprovoked,usa,Paddling on surfboard,17,Blacktip or spinner shark,Apr,N,M,Unspecified,1965,17.0
1236,Unprovoked,usa,Free diving,16,Mako shark,Mar,N,M,Unspecified,1965,16.0
1237,Unprovoked,south africa,Treading water,25,"1.8 m [6'], 136-kg [300-lb] shark ",Feb,N,M,Unspecified,1965,25.0
1238,Unprovoked,usa,Scuba diving,18,1.2 m [4'] shark,Feb,N,M,Unspecified,1965,18.0
1239,Unprovoked,south africa,Paddling rescue ski,22,"White shark, 3.7 m [12'] ",Jan,N,M,White shark,1965,22.0
1240,Unprovoked,south africa,Swimming,19,Raggedtooth shark ,Dec,N,M,Unspecified,1964,19.0
1241,Unprovoked,papua new guinea,"Canoe swamped, swimming back to canoe",28,2.1 m [7'] shark,Dec,N,M,Unspecified,1964,28.0
1242,Unprovoked,australia,Free diving with seals,25,"White shark, 2.4 m [8'] ",Nov,N,M,White shark,1964,25.0
1243,Unprovoked,australia,"Surfing, but swimming to his board",19,"Grey nurse shark, 1.8 m [6']",Oct,N,M,Grey shark,1964,19.0
1244,Unprovoked,taiwan,Swimming,20,1.8 m [6'] shark,Sep,N,M,Unspecified,1964,20.0
1245,Unprovoked,mexico,Floating on his back in an inner tube,19,1.8 to 2.4 m [6' to 8'] shark,Aug,N,M,Unspecified,1964,19.0
1246,Invalid,usa,Spearfishing / free diving,18,Invalid,Aug,Unknown,M,Unspecified,1964,18.0
1247,Unprovoked,usa,Spearfishing using scuba,28,Hammerhead shark,Aug,N,M,Unspecified,1964,28.0
1248,Invalid,usa,Attempting to swim across the Atlantic Ocean,29,Shark involvement prior to death was not confirmed,Jun,Unknown,F,Unspecified,1964,29.0
1249,Invalid,south africa,Swimming,40,Shark involvement prior to death was not confirmed,Jun,Unknown,M,Unspecified,1964,40.0
1250,Unprovoked,fiji,Spearfishing,35,Tiger shark,May,Y,M,Tiger shark,1964,35.0
1251,Unprovoked,usa,Skin diving ,38,1.7 m [5.5'] shark,Mar,N,M,Unspecified,1964,38.0
1252,Unprovoked,new zealand,Spearfishing,26,"White shark, 3 m [10'] ",Feb,N,M,White shark,1964,26.0
1253,Unprovoked,south africa,Body boarding,25,"White shark, 1.5 m [5'] k",Feb,N,M,White shark,1964,25.0
1254,Unprovoked,new zealand,Swimming,19,"White shark, 3 m to 3.7 m [10' to 12'] ",Feb,Y,M,White shark,1964,19.0
1255,Invalid,australia,Swimming,23,Shark involvement prior to death was not confirmed,Feb,Unknown,M,Unspecified,1964,23.0
1256,Unprovoked,usa,Spearfishing / Scuba diving (at surface),21,White shark (tooth fragment recovered),Jan,N,M,White shark,1964,21.0
1257,Unprovoked,south africa,Standing,20,"Zambesi shark, 1.8 m [6'] ",Dec,N,F,Unspecified,1963,20.0
1258,Unprovoked,south africa,Swimming ,24,1.8 m [6']  shark,Dec,N,M,Unspecified,1963,24.0
1259,Provoked,south africa,Helping friend land hooked shark,13,"Dusky shark, 1 m ",Dec,N,M,Unspecified,1963,13.0
1260,Unprovoked,south africa,Splashing in surf,15,300- to 400-lb Zambesi shark,Dec,Y,M,Unspecified,1963,15.0
1261,Unprovoked,australia,Spearfishing,23,White shark,Dec,N,M,White shark,1963,23.0
1263,Provoked,papua new guinea,Fishing / standing in waist deep water,18,Tiger shark,Nov,N,F,Tiger shark,1963,18.0
1264,Unprovoked,fiji,Fishing,21,>1.2 m [4'] tiger shark,Nov,N,F,Unspecified,1963,21.0
1265,Unprovoked,palau,Fishing,35,Dooley believed his Injury was caused by stingray (Dasyatidae family),Nov,N,M,Unspecified,1963,35.0
1266,Unprovoked,usa,"Surf fishing, wading ",28,500-lb shark,Oct,N,M,Unspecified,1963,28.0
1267,Unprovoked,solomon islands,Spearing fish,30,5.5 m [18'] shark,Sep,Y,M,Unspecified,1963,30.0
1268,Provoked,australia,Surfing,18,1.5 m [5'] shark,Sep,N,M,Unspecified,1963,18.0
1269,Provoked,usa,"Spearfishing, pulled sharks tail",16,"Nurse shark, 1.2 m [4'] ",Sep,N,M,Unspecified,1963,16.0
1270,Unprovoked,federated states of micronesia,Spearfishing,26,Tiger shark,Jul,N,M,Tiger shark,1963,26.0
1271,Unprovoked,greece,Swimming,42,"White shark, 3 m ",Jun,Y,F,White shark,1963,42.0
1272,Provoked,papua new guinea,Fishing,30,1.8 m [6'] shark,Jun,N,M,Unspecified,1963,30.0
1273,Unprovoked,usa,Swimming,25,"Hand found in gut of 2.9 m to 3.3 m [9'7"" to 10'11""] Galapagos shark, C. galapagensis",Apr,Y,M,Unspecified,1963,25.0
1274,Unprovoked,usa,Surfing ,15,3.7 to 4.5 m [12' to 15'] shark seen in vicinity,Apr,N,M,Unspecified,1963,15.0
1275,Unprovoked,australia,Spearfishing,18,"Bronze whaler shark, 3 m [10'] ",Feb,N,M,Unspecified,1963,18.0
1276,Unprovoked,fiji,Spearfishing,28,"White shark, 2.1 m [7'] ",Feb,N,M,White shark,1963,28.0
1277,Unprovoked,australia,Wading,32,"Tooth fragments of whaler shark were recovered, a bull shark, according to Edwards",Jan,Y,F,Unspecified,1963,32.0
